timestamp,mid_price,book_imbalance,vwap_spread
2024-04-15 19:12:23,98715000.0,-3443.450046092272,44286.24239720404
2024-04-15 19:12:29,98711000.0,-2448.7611400336027,41257.58128935099
2024-04-15 19:12:34,98711000.0,1772.67021048069,40096.5500754565
2024-04-15 19:12:39,98711000.0,2007.0091788321733,25461.359338998795
2024-04-15 19:12:44,98711000.0,2601.234500527382,28419.053409144282
2024-04-15 19:12:49,98693500.0,5532.512070953846,40669.74834010005
2024-04-15 19:12:54,98694500.0,-10969.934287175536,70084.6177854389
2024-04-15 19:12:59,98687500.0,-4771.148404955864,58973.59768533707
2024-04-15 19:13:04,98673500.0,4512.568594738841,59032.1210577786
2024-04-15 19:13:09,98671500.0,-4857.565760597587,36379.720329374075
2024-04-15 19:13:14,98670000.0,2618.948549821973,16124.398625433445
