price,quantity,type,timestamp
98781000,0.0002,1,2024-04-15 19:07:38
98783000,0.0422,1,2024-04-15 19:07:38
98769000,0.0556,0,2024-04-15 19:07:43
98765000,0.4288,0,2024-04-15 19:07:43
98746000,0.01,0,2024-04-15 19:07:43
98744000,0.057,0,2024-04-15 19:07:43
98740000,0.4052,0,2024-04-15 19:07:43
98777000,0.0297,1,2024-04-15 19:07:43
98778000,0.0429,1,2024-04-15 19:07:43
98780000,0.0232,1,2024-04-15 19:07:43
98781000,0.0002,1,2024-04-15 19:07:43
98783000,0.0422,1,2024-04-15 19:07:43
98769000,0.1103,0,2024-04-15 19:07:48
98765000,0.4288,0,2024-04-15 19:07:48
98760000,0.0001,0,2024-04-15 19:07:48
98757000,0.044,0,2024-04-15 19:07:48
98756000,0.0182,0,2024-04-15 19:07:48
98777000,0.0297,1,2024-04-15 19:07:48
98778000,0.0429,1,2024-04-15 19:07:48
98780000,0.0232,1,2024-04-15 19:07:48
98781000,0.0002,1,2024-04-15 19:07:48
98783000,0.0422,1,2024-04-15 19:07:48
98769000,0.0967,0,2024-04-15 19:07:53
98765000,0.4288,0,2024-04-15 19:07:53
98760000,0.0001,0,2024-04-15 19:07:53
98757000,0.044,0,2024-04-15 19:07:53
98756000,0.0182,0,2024-04-15 19:07:53
98777000,0.0205,1,2024-04-15 19:07:53
98778000,0.0429,1,2024-04-15 19:07:53
98780000,0.0232,1,2024-04-15 19:07:53
98781000,0.0002,1,2024-04-15 19:07:53
98783000,0.0422,1,2024-04-15 19:07:53
98769000,0.0967,0,2024-04-15 19:07:58
98765000,0.4288,0,2024-04-15 19:07:58
98760000,0.0003,0,2024-04-15 19:07:58
98757000,0.0438,0,2024-04-15 19:07:58
98756000,0.0303,0,2024-04-15 19:07:58
98777000,0.0068,1,2024-04-15 19:07:58
98778000,0.0429,1,2024-04-15 19:07:58
98780000,0.0232,1,2024-04-15 19:07:58
98781000,0.0002,1,2024-04-15 19:07:58
98783000,0.0422,1,2024-04-15 19:07:58
98769000,0.0967,0,2024-04-15 19:08:03
98765000,0.429,0,2024-04-15 19:08:03
98761000,0.0619,0,2024-04-15 19:08:03
98760000,0.0218,0,2024-04-15 19:08:03
98759000,0.0224,0,2024-04-15 19:08:03
98780000,0.0002,1,2024-04-15 19:08:03
98781000,0.0002,1,2024-04-15 19:08:03
98783000,0.0422,1,2024-04-15 19:08:03
98796000,0.0103,1,2024-04-15 19:08:03
98798000,0.0001,1,2024-04-15 19:08:03
98769000,0.0718,0,2024-04-15 19:08:08
98765000,0.429,0,2024-04-15 19:08:08
98764000,0.0254,0,2024-04-15 19:08:08
98761000,0.0122,0,2024-04-15 19:08:08
98760000,0.0437,0,2024-04-15 19:08:08
98780000,0.0001,1,2024-04-15 19:08:08
98781000,0.0002,1,2024-04-15 19:08:08
98783000,0.0422,1,2024-04-15 19:08:08
98796000,0.0103,1,2024-04-15 19:08:08
98798000,0.0001,1,2024-04-15 19:08:08
98783000,0.0002,0,2024-04-15 19:08:13
98769000,0.071,0,2024-04-15 19:08:13
98768000,0.0254,0,2024-04-15 19:08:13
98766000,0.0123,0,2024-04-15 19:08:13
98765000,0.429,0,2024-04-15 19:08:13
98796000,0.0102,1,2024-04-15 19:08:13
98798000,0.0001,1,2024-04-15 19:08:13
98800000,0.0001,1,2024-04-15 19:08:13
98801000,0.0002,1,2024-04-15 19:08:13
98803000,0.0079,1,2024-04-15 19:08:13
98769000,0.071,0,2024-04-15 19:08:18
98768000,0.0254,0,2024-04-15 19:08:18
98765000,0.429,0,2024-04-15 19:08:18
98764000,0.0217,0,2024-04-15 19:08:18
98763000,0.0858,0,2024-04-15 19:08:18
98783000,0.8619,1,2024-04-15 19:08:18
98796000,0.0102,1,2024-04-15 19:08:18
98798000,0.0001,1,2024-04-15 19:08:18
98800000,0.0001,1,2024-04-15 19:08:18
98801000,0.0002,1,2024-04-15 19:08:18
98769000,0.071,0,2024-04-15 19:08:23
98768000,0.0254,0,2024-04-15 19:08:23
98766000,0.0002,0,2024-04-15 19:08:23
98765000,0.429,0,2024-04-15 19:08:23
98764000,0.0217,0,2024-04-15 19:08:23
98783000,0.8619,1,2024-04-15 19:08:23
98795000,0.0151,1,2024-04-15 19:08:23
98796000,0.0102,1,2024-04-15 19:08:23
98798000,0.0001,1,2024-04-15 19:08:23
98800000,0.0001,1,2024-04-15 19:08:23
98769000,0.071,0,2024-04-15 19:08:28
98765000,0.429,0,2024-04-15 19:08:28
98759000,0.0254,0,2024-04-15 19:08:28
98757000,0.0003,0,2024-04-15 19:08:28
98755000,0.0437,0,2024-04-15 19:08:28
98783000,0.8617,1,2024-04-15 19:08:28
98795000,0.0151,1,2024-04-15 19:08:28
98796000,0.0102,1,2024-04-15 19:08:28
98798000,0.0001,1,2024-04-15 19:08:28
98800000,0.0001,1,2024-04-15 19:08:28
98769000,0.071,0,2024-04-15 19:08:33
98765000,0.429,0,2024-04-15 19:08:33
98759000,0.0254,0,2024-04-15 19:08:33
98757000,0.0125,0,2024-04-15 19:08:33
98755000,0.0437,0,2024-04-15 19:08:33
